id,lable
1359,0.9805942587554455
9311,0.9856578223407269
6638,0.9999951023369249
3381,0.9987955623073503
7660,0.6972326934337616
10744,0.5300409495830536
8867,0.6193755567073822
4742,0.9949683621525764
9829,0.9535381235182285
12049,0.9535387605428696
7311,0.75192990899086
10171,0.9991785875172354
2181,0.8025565296411514
323,0.998920030426234
6120,0.8096113801002502
3782,0.9640996716916561
10075,0.9847582718357444
11808,0.9437211193144321
2044,0.9855675520375371
2834,0.5560429990291595
8302,0.9768557045608759
2826,0.7050211727619171
5010,0.8037190288305283
3555,0.9820375330746174
152,0.926474928855896
11347,0.7770114094018936
1784,0.9050276950001717
10895,0.7652509063482285
9013,0.5068311393260956
10763,0.8902169317007065
11700,0.9893657863140106
12202,0.9998670148925157
8764,0.995064761955291
6367,0.5536769926548004
929,0.9572226293385029
1707,0.7479790151119232
5408,0.9959636274725199
5112,0.999742371175671
12375,0.8462155610322952
10893,0.961237657815218
11813,0.9909143662080169
10519,0.9982709421310574
7672,0.9784162193536758
1260,0.9982392027741298
11572,0.9997803547012154
2959,0.5122197866439819
12132,0.997035593027249
3156,0.9936637030914426
7187,0.9878698354586959
9123,0.9982059800531715
6149,0.836905762553215
6458,0.6124999821186066
5077,0.5494164228439331
3663,0.9609427638351917
2028,0.9982548595871776
6100,0.9937666379846632
3683,0.993280524853617
10439,0.9999999983817345
4086,0.6576191782951355
11207,0.9984733198070899
2716,0.9766772575676441
8777,0.9993391958996654
1258,0.8365880995988846
3021,0.933560274541378
9937,0.9292560443282127
5547,0.7880101352930069
11344,0.8246046900749207
8026,0.7188641428947449
3693,0.9684354215860367
1551,0.9999173025425989
10569,0.8388342261314392
125,0.9994846562040038
6520,0.9992295144475065
1585,0.9470893368124962
12302,0.9958382262848318
9591,0.6355559229850769
416,0.9988473866833374
478,0.8056062906980515
8052,0.9985971603309736
8557,0.7632670700550079
3781,0.9180994927883148
6513,0.9645977355539799
4706,0.5895495712757111
9528,0.9989842970389873
3845,0.9664700366556644
2000,0.7770488411188126
11672,0.8403493314981461
7673,0.7805260866880417
3228,0.7252145409584045
711,0.9944278956390917
6706,0.7714719027280807
12456,0.6419355571269989
3436,0.5669733583927155
10137,0.9760022629052401
530,0.9988776817917824
2076,0.8514490574598312
5868,0.7084830403327942
